time,temperature,humidity,wind_speed
2025-12-14 01:00:00,21.8,92,11.8
2025-12-14 02:00:00,21.7,93,13.1
2025-12-14 03:00:00,21.6,93,14.1
2025-12-14 04:00:00,21.4,93,14.3
2025-12-14 05:00:00,21.3,94,13.9
2025-12-14 06:00:00,21.2,94,13.6
2025-12-14 07:00:00,21.1,94,13.1
2025-12-14 08:00:00,21.0,94,12.9
2025-12-14 09:00:00,21.0,93,12.7
2025-12-14 10:00:00,21.2,92,13.5
2025-12-14 11:00:00,21.4,91,14.3
2025-12-14 12:00:00,21.9,89,15.3
2025-12-14 13:00:00,22.6,86,16.1
2025-12-14 14:00:00,23.5,83,17.1
2025-12-14 15:00:00,24.2,80,17.6
2025-12-14 16:00:00,24.5,79,17.3
2025-12-14 17:00:00,24.5,78,16.8
2025-12-14 18:00:00,24.4,79,15.8
2025-12-14 19:00:00,24.0,81,14.5
2025-12-14 20:00:00,23.3,84,12.7
2025-12-14 21:00:00,22.8,87,11.2
2025-12-14 22:00:00,22.5,88,9.7
2025-12-14 23:00:00,22.3,89,8.2
2025-12-15 00:00:00,22.1,90,7.6
2025-12-15 01:00:00,21.9,91,7.7
2025-12-15 02:00:00,21.9,91,8.2
2025-12-15 03:00:00,21.8,92,8.7
2025-12-15 04:00:00,21.6,92,9.9
2025-12-15 05:00:00,21.5,93,10.8
2025-12-15 06:00:00,21.3,93,11.5
2025-12-15 07:00:00,21.2,93,10.7
2025-12-15 08:00:00,21.1,93,9.2
2025-12-15 09:00:00,21.2,92,8.9
2025-12-15 10:00:00,21.9,89,11.5
2025-12-15 11:00:00,22.8,85,15.1
2025-12-15 12:00:00,23.5,82,18.0
2025-12-15 13:00:00,24.0,80,19.2
2025-12-15 14:00:00,24.3,78,19.6
2025-12-15 15:00:00,24.6,77,19.5
2025-12-15 16:00:00,24.8,76,18.5
2025-12-15 17:00:00,24.9,76,17.1
2025-12-15 18:00:00,24.8,77,15.6
2025-12-15 19:00:00,24.5,79,14.1
2025-12-15 20:00:00,24.0,81,12.8
2025-12-15 21:00:00,23.5,84,11.2
2025-12-15 22:00:00,23.1,86,7.7
2025-12-15 23:00:00,22.6,88,4.4
